3.219748840e+002;2.454534988e-004;3.219748840e+002;3.755051584e-004;3.219748840e+002;6.163207581e-004;3.219748840e+002;2.462082775e-004;3.219748840e+002;5.891522742e-004;3.219748840e+002;8.600532892e-004;3.219748840e+002;1.965962110e-005
3.220819702e+002;1.153103130e-005;3.220819702e+002;4.892035577e-006;3.220819702e+002;1.297415001e-004;3.220819702e+002;-4.405040090e-005;3.220819702e+002;1.867658430e-004;3.220819702e+002;5.562498118e-004;3.220819702e+002;-3.051602398e-004
3.221890259e+002;3.599759948e-004;3.221890259e+002;5.648112856e-004;3.221890259e+002;5.744516384e-004;3.221890259e+002;4.115871852e-004;3.221890259e+002;6.800403353e-004;3.221890259e+002;1.191991498e-003;3.221890259e+002;2.759703493e-004
3.222961121e+002;2.933915530e-004;3.222961121e+002;1.239307167e-004;3.222961121e+002;4.749478539e-004;3.222961121e+002;1.084716132e-004;3.222961121e+002;4.076269688e-004;3.222961121e+002;7.313416572e-004;3.222961121e+002;-9.310002497e-005
3.224031982e+002;8.364484529e-004;3.224031982e+002;9.802767308e-004;3.224031982e+002;1.153186546e-003;3.224031982e+002;8.775756578e-004;3.224031982e+002;1.103504328e-003;3.224031982e+002;1.619517570e-003;3.224031982e+002;6.459321012e-004
3.225102844e+002;-1.682978473e-004;3.225102844e+002;-6.923370529e-005;3.225102844e+002;-3.678579378e-005;3.225102844e+002;-3.770657640e-004;3.225102844e+002;1.036269969e-004;3.225102844e+002;4.684099404e-004;3.225102844e+002;-5.208561197e-004
3.226174011e+002;4.293746897e-004;3.226174011e+002;6.810004706e-004;3.226174011e+002;6.339387619e-004;3.226174011e+002;5.145003088e-004;3.226174011e+002;6.723229308e-004;3.226174011e+002;9.781988338e-004;3.226174011e+002;2.353666059e-004
3.227245178e+002;1.814563730e-004;3.227245178e+002;2.193069377e-004;3.227245178e+002;3.290649911e-004;3.227245178e+002;1.273753442e-004;3.227245178e+002;3.799073456e-004;3.227245178e+002;6.246043486e-004;3.227245178e+002;-1.408304379e-004
3.228316345e+002;6.037857383e-004;3.228316345e+002;7.697379915e-004;3.228316345e+002;9.565996006e-004;3.228316345e+002;6.651002914e-004;3.228316345e+002;8.667689399e-004;3.228316345e+002;1.274675597e-003;3.228316345e+002;5.056501832e-004
3.229387512e+002;-1.897891052e-004;3.229387512e+002;-3.483230103e-005;3.229387512e+002;5.602420788e-005;3.229387512e+002;-5.330651402e-005;3.229387512e+002;-2.420885176e-005;3.229387512e+002;6.133699790e-004;3.229387512e+002;-3.148478281e-004
